date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:03	18067/18067	---M--	200	added ('OK')	image/jpeg	etag:%22fb523cf9489b362d83619721dcc2a6b4-ssl%22	https://kalvin.netlify.app/images/promo/promo-blog-single.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/promo/promo-blog-single.jpg	(from https://kalvin.netlify.app/index.html)
10:07:04	14832/14832	---MCZ	200	added ('OK')	application/javascript	etag:%228e31b2589fa6396a1ed4210a6c4e7a74-ssl-df%22	https://kalvin.netlify.app/js/jquery.ripples-min.js	/home/rahul/websites/resume/kalvin.netlify.app/js/jquery.ripples-min.js	(from https://kalvin.netlify.app/index.html)
10:07:05	100455/100455	---M--	200	added ('OK')	image/jpeg	etag:%22b80815e8307b5e30fd5c1181fbd52828-ssl%22	https://kalvin.netlify.app/images/blog/blog-big.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/blog-big.jpg	(from https://kalvin.netlify.app/single-blog.html)
10:07:06	17770/17770	---M--	200	added ('OK')	image/jpeg	etag:%22adf6703812721af27f3f6bca7eef6519-ssl%22	https://kalvin.netlify.app/images/blog/comment-authors/img-1.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/comment-authors/img-1.jpg	(from https://kalvin.netlify.app/single-blog.html)
10:07:07	15017/15017	---M--	200	added ('OK')	image/jpeg	etag:%22f9fa9eee173ff88467bd9b961231c7c2-ssl%22	https://kalvin.netlify.app/images/blog/comment-authors/img-2.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/comment-authors/img-2.jpg	(from https://kalvin.netlify.app/single-blog.html)
10:07:08	12531/12531	---M--	200	added ('OK')	image/jpeg	etag:%22061299023a858cf5bfd3e53df89a9d13-ssl%22	https://kalvin.netlify.app/images/blog/comment-authors/img-3.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/comment-authors/img-3.jpg	(from https://kalvin.netlify.app/single-blog.html)
10:07:09	23364/23364	---MCZ	200	added ('OK')	application/javascript	etag:%22ff415c644c238128f733738354ce6fbb-ssl-df%22	https://kalvin.netlify.app/js/particles.min.js	/home/rahul/websites/resume/kalvin.netlify.app/js/particles.min.js	(from https://kalvin.netlify.app/single-blog.html)
10:07:10	37103/37103	---M--	200	added ('OK')	image/jpeg	etag:%228c8e6eefc9f417c7a1616495db4aa77c-ssl%22	https://kalvin.netlify.app/images/blog/img-5.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/img-5.jpg	(from https://kalvin.netlify.app/blogs-page.html)
10:07:11	47177/47177	---M--	200	added ('OK')	image/jpeg	etag:%22357a4f08d6f4ca4ea60ff65670906d5e-ssl%22	https://kalvin.netlify.app/images/blog/img-6.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/blog/img-6.jpg	(from https://kalvin.netlify.app/blogs-page.html)
10:07:13	518696/518696	---M--	200	added ('OK')	image/jpeg	etag:%22bd24aefb49d945eeaf589bd784f1124c-ssl%22	https://kalvin.netlify.app/images/background/creative2-banner-bg.jpg	/home/rahul/websites/resume/kalvin.netlify.app/images/background/creative2-banner-bg.jpg	(from https://kalvin.netlify.app/index-creative2.html)
10:07:13	14224/14224	---MCZ	200	added ('OK')	application/javascript	etag:%228544a2366dcc8621d50d9f3a9ad895a5-ssl-df%22	https://kalvin.netlify.app/js/ultimate-bg.js	/home/rahul/websites/resume/kalvin.netlify.app/js/ultimate-bg.js	(from https://kalvin.netlify.app/index-videobg.html)
